State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.88392	4.80602	4.54235	4.50639	4.56632	4.27268	4.04497	3.90115	3.78129	3.59553	3.48766	3.38579	3.30189	3.39178	3.48167	3.54759	3.70938	3.75732	3.49964	3.45170	3.39178
2	3.27098	3.14983	3.29521	3.36790	3.14175	3.08522	3.17406	3.10137	3.08522	2.93984	2.98022	3.03676	3.31944	3.23060	2.98830	2.93984	2.98022	2.99638	3.04484	2.95599	3.07714
3	1.89057	1.71814	1.81667	1.74277	1.88441	1.90289	1.98294	2.15537	2.35859	2.32780	2.06916	2.18616	2.25390	2.28469	2.33396	2.31548	2.42017	2.28469	2.31548	2.41402	2.29701
4	1.31555	1.34012	1.33634	1.33823	1.36091	1.43274	1.36469	1.42707	1.39683	1.43085	1.34390	1.34012	1.25128	1.26830	1.29854	1.29098	1.30988	1.27208	1.27964	1.30043	1.31177
5	2.51075	2.56284	2.54200	2.50033	2.62795	2.69827	2.80506	2.88059	2.83631	2.84152	2.85194	2.96133	3.06290	3.08114	3.18532	3.21136	3.20615	3.24522	3.22178	3.15406	3.29210
6	2.17749	2.13886	2.10507	2.11472	2.04713	2.20646	2.24508	2.22094	2.28371	2.22094	2.13886	2.21128	1.97953	1.97471	1.96505	1.93608	1.90711	2.02299	2.16783	2.10507	2.10989
7	1.06073	1.08571	1.09570	1.04907	0.99912	0.95249	0.96082	0.96415	0.94417	0.93085	0.91086	0.85425	0.86923	0.80762	0.78597	0.78597	0.75433	0.74601	0.75766	0.81262	0.82594
8	3.33501	3.33954	3.33954	3.33728	3.31738	3.30019	3.26357	3.22739	3.20071	3.16137	3.13559	3.07093	2.99676	2.94386	2.87422	2.81272	2.75619	2.67389	2.61963	2.56129	2.48216
9	0.43794	0.43837	0.43905	0.44117	0.44272	0.44508	0.44806	0.45104	0.45297	0.45651	0.45869	0.46179	0.46608	0.46919	0.47223	0.47490	0.47770	0.48099	0.48329	0.48633	0.48975
10	1.21952	1.21940	1.22063	1.22322	1.22285	1.22076	1.22433	1.22162	1.22765	1.23813	1.25636	1.26412	1.27767	1.28752	1.29627	1.30748	1.31339	1.32904	1.33926	1.34887	1.35700
