State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.56286	9.28169	11.23323	14.04153	17.29938	20.44616	22.28663	22.47703	21.16014	17.63257	20.37212	35.69352	44.96463	50.62355	51.30580	46.44018	38.19508	30.03989	23.61410	18.45761	14.70791
2	4.68303	5.44571	6.70735	8.90987	11.98912	17.14972	26.63695	39.90197	54.32883	63.11753	62.06973	51.03574	36.65877	23.72164	15.18242	9.98618	6.67884	4.82559	3.66374	2.94382	2.55179
3	4.09249	4.48924	4.67946	5.16317	5.79362	6.38059	7.16866	7.66867	6.77734	4.66859	3.29899	3.35878	3.03268	3.07073	3.30986	3.01638	2.63593	2.38593	2.21745	2.05983	2.07070
4	3.90015	4.17373	4.61746	5.29974	6.08377	6.84278	6.95288	6.30730	5.39148	5.82687	5.96533	3.69997	3.44308	3.43807	3.14281	2.75246	2.43384	2.08019	1.77492	1.59809	1.44296
5	3.36056	3.39964	3.52836	3.50997	3.29850	2.92153	2.44802	2.02967	1.66189	1.60443	1.49869	1.45272	1.51248	1.63891	2.00209	2.39285	2.81809	3.00888	3.07784	3.06864	3.04106
6	5.68852	5.54790	5.45416	5.04084	3.91166	3.01683	2.04105	1.43598	1.18458	1.39337	1.47007	1.28684	1.39337	1.79817	3.28102	6.83901	10.89128	14.03168	15.18643	15.61253	15.01172
7	1.81645	1.65773	1.42112	1.12132	0.91851	0.67455	0.56433	0.54082	0.52171	0.48203	0.49820	0.49232	0.50261	0.58197	0.68484	1.00081	1.67830	2.45279	3.34044	4.06496	4.71601
8	0.83650	0.77304	0.70759	0.64334	0.59225	0.54756	0.50565	0.47612	0.46255	0.46175	0.45976	0.46973	0.48570	0.50286	0.52601	0.56711	0.63975	0.73872	0.86364	1.00492	1.14101
9	0.33348	0.33041	0.32662	0.32229	0.31856	0.31281	0.30661	0.29915	0.29362	0.28989	0.28770	0.28737	0.28791	0.29197	0.29680	0.30173	0.30573	0.30963	0.31292	0.31604	0.31840
10	1.63248	1.59661	1.54366	1.45788	1.35536	1.23306	1.10673	0.99236	0.91680	0.87701	0.86179	0.86679	0.90702	0.95268	1.00486	1.06183	1.10880	1.15163	1.18577	1.20871	1.22838
