State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.58350	28.63491	5.95563	1.97968	3.48803	20.36746	21.53523	0.22255
2	0.43294	57.03551	7.31182	1.09898	2.98054	62.07164	19.88663	0.33518
3	0.56780	1.77061	1.86641	0.99418	2.06937	3.29910	4.09790	0.41848
4	1.84991	4.98190	1.51019	0.76944	1.34404	5.96551	4.19754	0.65316
5	1.34253	0.86600	2.22966	1.42450	2.84963	1.49874	2.51298	0.36490
6	0.72422	0.68661	1.90377	2.16427	2.13426	1.47011	5.00249	0.20307
7	2.09983	0.38472	1.06671	2.18422	0.91096	0.49822	1.30091	0.24608
8	7.73239	0.73803	3.58469	2.13037	3.13547	0.45977	0.67712	0.32323
9	56.28158	0.18094	0.41469	0.75569	0.45873	0.28770	0.33468	1.27799
10	28.38532	1.05756	1.12158	1.03259	1.25649	0.86182	1.23065	0.79966
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
