State (Emission order)	H3k4me1	H3k9me1	H4k20me1	H3k36me3	H3k79me2	H3k4me3	H3k9ac	H3k27ac	H2az	H3k27me3
1	0.35088022915198086	0.053502821479522074	0.07686281624619871	0.11112022427803049	0.9801564188176616	0.9398431424980238	0.9737839005332506	0.8034892228349798	0.4756207477377477	1.7550975982003636E-4
2	0.24573885126180856	0.014305233538412196	0.004887486727220667	0.0013146272503958194	0.0843562527331746	0.8638457048833315	0.8941617662191998	0.6764466350923223	0.8177728324293507	0.0012787456567778107
3	0.9628938055721658	0.11950385088661344	0.01894676310854329	0.04855443818581175	0.04225656220367172	0.3360862862522792	0.467840047516519	0.7369451014242782	0.7970543524915198	0.004091291329322947
4	0.29808391194057327	0.03285985851743308	0.004142689671998999	0.0032846180895028105	0.0018459710531969883	0.0569601196409676	0.018095669968180267	0.02355631305321999	0.5360495312507735	0.00586104972922507
5	0.6053962397668681	0.10688761863388825	0.054120949740806765	0.08157301029877836	0.02731557530779123	0.025518776167797352	0.022249854372866508	0.12101314886732231	0.03456330481100746	0.01110579238138086
6	0.7203354225955725	0.19307886196886517	0.14559963523806996	0.3033454598633275	0.9315233646360005	0.12799071383894434	0.1503713390012747	0.24952668096247713	0.028122009381922303	4.6433987171482654E-4
7	0.043188210205477126	0.04259584596642651	0.02473676435208219	0.13402185567067812	0.6599227074780515	0.00205145501769572	0.0025545291462822045	0.005807620913038276	7.58043129546648E-4	2.9587213281032104E-4
8	0.004096469410179745	0.034971987943216556	0.009947979511944547	0.17331146604308476	0.0185096260067727	7.15529735207079E-4	9.323929717858292E-4	0.007892636789377983	2.893108138537113E-4	1.9504916014483035E-4
9	4.369357796668161E-4	0.005193232748884671	9.641397080426865E-4	7.470100296214948E-4	7.919472556549298E-5	4.4078666936935766E-4	9.35296491470308E-5	6.113656364905142E-4	5.309995065508354E-4	9.299534510011883E-4
10	0.0036014026919894897	0.0237307689353849	0.013614519334928563	0.001249243250683946	2.0712742937676232E-4	8.582446242992209E-4	3.2099169948629437E-4	0.0033835695646938385	0.007440811857231834	0.028414434642434382
